transaction_id,sender_id,receiver_id,amount,timestamp,transaction_type,location
TXN_SMURF_0_00,ENT_020,ENT_001,49254,2026-05-05 10:22:00,UPI,RATANPUR_HIGHWAY
TXN_SMURF_0_01,ENT_020,ENT_001,48651,2026-05-05 10:09:00,UPI,DEVGARH_CENTRAL
TXN_SMURF_0_02,ENT_020,ENT_001,48880,2026-05-05 10:16:00,UPI,KALYANPUR_EAST
TXN_SMURF_0_03,ENT_020,ENT_001,48835,2026-05-05 10:04:00,UPI,RATANPUR_HIGHWAY
TXN_SMURF_0_04,ENT_020,ENT_001,48831,2026-05-05 10:12:00,UPI,DEVGARH_CENTRAL
TXN_SMURF_1_00,ENT_021,ENT_001,48688,2026-03-15 10:03:00,UPI,KALYANPUR_EAST
TXN_SMURF_1_01,ENT_021,ENT_001,49249,2026-03-15 10:02:00,UPI,DEVGARH_CENTRAL
TXN_SMURF_1_02,ENT_021,ENT_001,49474,2026-03-15 10:21:00,UPI,INDRAPURI_STATION
TXN_SMURF_1_03,ENT_021,ENT_001,48247,2026-03-15 10:18:00,UPI,KALYANPUR_EAST
TXN_SMURF_1_04,ENT_021,ENT_001,47847,2026-03-15 10:22:00,UPI,INDRAPURI_STATION
TXN_SMURF_1_05,ENT_021,ENT_001,48868,2026-03-15 10:12:00,UPI,CYBERABAD_HUB
TXN_SMURF_1_06,ENT_021,ENT_001,47222,2026-03-15 10:09:00,UPI,RATANPUR_HIGHWAY
TXN_SMURF_2_00,ENT_020,ENT_016,48853,2026-06-01 10:05:00,UPI,DEVGARH_CENTRAL
TXN_SMURF_2_01,ENT_020,ENT_016,49698,2026-06-01 10:09:00,UPI,DEVGARH_CENTRAL
TXN_SMURF_2_02,ENT_020,ENT_016,48398,2026-06-01 10:13:00,UPI,INDRAPURI_STATION
TXN_SMURF_2_03,ENT_020,ENT_016,48195,2026-06-01 10:19:00,UPI,KALYANPUR_EAST
TXN_SMURF_2_04,ENT_020,ENT_016,48531,2026-06-01 10:24:00,UPI,DEVGARH_CENTRAL
TXN_SMURF_2_05,ENT_020,ENT_016,47187,2026-06-01 10:07:00,UPI,RATANPUR_HIGHWAY
TXN_SMURF_3_00,ENT_005,ENT_016,49502,2026-03-15 10:08:00,UPI,ANANDPUR_NORTH
TXN_SMURF_3_01,ENT_005,ENT_016,47494,2026-03-15 10:14:00,UPI,ANANDPUR_NORTH
TXN_SMURF_3_02,ENT_005,ENT_016,48872,2026-03-15 10:08:00,UPI,INDRAPURI_STATION
TXN_SMURF_3_03,ENT_005,ENT_016,48384,2026-03-15 10:05:00,UPI,RATANPUR_HIGHWAY
TXN_SMURF_3_04,ENT_005,ENT_016,47190,2026-03-15 10:22:00,UPI,INDRAPURI_STATION
TXN_SMURF_3_05,ENT_005,ENT_016,49411,2026-03-15 10:05:00,UPI,RATANPUR_HIGHWAY
