post_id,author_entity_id,timestamp,platform,text
POST_001,ENT_022,2026-05-17 00:37:00,InstaNet,Package arrived at Vikramnagar warehouse. Awaiting signal from Advik to dispatch.
POST_002,ENT_001,2026-05-16 19:44:00,InstaNet,New SIM batches ready. Contact @Advik_Maharaj for login keys.
POST_003,ENT_013,2026-05-07 18:14:00,InstaNet,Big consignment moving across highway checkpoint at 02:00.
POST_004,ENT_067,2026-05-09 10:44:00,InstaNet,New SIM batches ready. Contact @Dayita_Borra for login keys.
POST_005,ENT_012,2026-05-30 07:30:00,X-Feed,Big consignment moving across highway checkpoint at 02:00.
POST_006,ENT_025,2026-07-10 13:10:00,Chatgram,Meeting scheduled at Vikramnagar tonight with team. Bring vehicle MH-12-AB-1234.
POST_007,ENT_012,2026-05-07 16:15:00,DarkPost,Package arrived at Shivnagar warehouse. Awaiting signal from Advik to dispatch.
POST_008,ENT_028,2026-04-22 01:24:00,X-Feed,Big consignment moving across highway checkpoint at 02:00.
POST_009,ENT_004,2026-05-01 23:13:00,DarkPost,Cash collected from Devgarh outlet. Heading to safehouse.
POST_010,ENT_011,2026-05-15 18:05:00,Chatgram,Package arrived at Shivnagar warehouse. Awaiting signal from Advik to dispatch.
POST_011,ENT_009,2026-06-27 00:30:00,X-Feed,Meeting scheduled at Chandanpur tonight with team. Bring vehicle MH-12-AB-1234.
POST_012,ENT_032,2026-04-30 05:00:00,InstaNet,Package arrived at Vidyanagar warehouse. Awaiting signal from Advik to dispatch.
POST_013,ENT_020,2026-04-12 10:23:00,Chatgram,Meeting scheduled at Suryanagar tonight with team. Bring vehicle MH-12-AB-1234.
POST_014,ENT_009,2026-07-08 03:22:00,Chatgram,Transfer settled on UPI. Confirm receipt for consignment #8821.
POST_015,ENT_020,2026-07-12 03:29:00,DarkPost,New SIM batches ready. Contact @Yashoda_Tak for login keys.
POST_016,ENT_004,2026-06-09 06:30:00,DarkPost,Big consignment moving across highway checkpoint at 02:00.
POST_017,ENT_013,2026-06-28 20:20:00,InstaNet,Cash collected from Devgarh outlet. Heading to safehouse.
POST_018,ENT_009,2026-06-29 17:15:00,X-Feed,Cash collected from Devgarh outlet. Heading to safehouse.
POST_019,ENT_007,2026-05-30 10:11:00,InstaNet,Meeting scheduled at Vikramnagar tonight with team. Bring vehicle MH-12-AB-1234.
POST_020,ENT_071,2026-04-30 16:34:00,Chatgram,Cash collected from Devgarh outlet. Heading to safehouse.
POST_021,ENT_012,2026-05-19 10:36:00,DarkPost,New SIM batches ready. Contact @Rajata_Gaba for login keys.
POST_022,ENT_015,2026-07-02 14:34:00,InstaNet,Big consignment moving across highway checkpoint at 02:00.
POST_023,ENT_004,2026-06-06 18:41:00,X-Feed,Meeting scheduled at Rajnagar tonight with team. Bring vehicle RJ-14-CR-5803.
POST_024,ENT_027,2026-07-08 14:45:00,InstaNet,Transfer settled on UPI. Confirm receipt for consignment #8821.
POST_025,ENT_005,2026-07-10 21:24:00,X-Feed,Cash collected from Devgarh outlet. Heading to safehouse.
